Crm Cd,Part 1-2,Crm Cd Desc
760,2,LEWD/LASCIVIOUS ACTS WITH CHILD
522,1,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
236,1,INTIMATE PARTNER - AGGRAVATED ASSAULT
353,1,DRUNK ROLL
421,1,THEFT FROM MOTOR VEHICLE - ATTEMPT
310,1,BURGLARY
930,2,CRIMINAL THREATS - NO WEAPON DISPLAYED
231,1,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
349,2,GRAND THEFT / AUTO REPAIR
347,2,GRAND THEFT / INSURANCE FRAUD
354,2,THEFT OF IDENTITY
210,1,ROBBERY
901,2,VIOLATION OF RESTRAINING ORDER
906,2,FIREARMS RESTRAINING ORDER (FIREARMS RO)
660,2,COUNTERFEIT
237,2,CHILD NEGLECT (SEE 300 W.I.C.)
900,2,VIOLATION OF COURT ORDER
442,1,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
471,1,TILL TAP - PETTY ($950 & UNDER)
510,1,VEHICLE - STOLEN
345,1,DISHONEST EMPLOYEE - GRAND THEFT
860,2,BATTERY WITH SEXUAL CONTACT
956,2,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
880,2,DISRUPT SCHOOL
623,2,BATTERY POLICE (SIMPLE)
661,2,UNAUTHORIZED COMPUTER ACCESS
433,1,DRIVING WITHOUT OWNER CONSENT (DWOC)
946,2,OTHER MISCELLANEOUS CRIME
805,2,PIMPING
436,2,LYNCHING - ATTEMPTED
815,1,SEXUAL PENETRATION W/FOREIGN OBJECT
932,2,PEEPING TOM
122,1,"RAPE, ATTEMPTED"
903,2,CONTEMPT OF COURT
926,1,TRAIN WRECKING
806,2,PANDERING
948,2,BIGAMY
888,2,TRESPASSING
653,2,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
475,1,"THEFT, COIN MACHINE - ATTEMPT"
626,2,INTIMATE PARTNER - SIMPLE ASSAULT
113,1,"MANSLAUGHTER, NEGLIGENT"
251,1,SHOTS FIRED AT INHABITED DWELLING
886,2,DISTURBING THE PEACE
451,1,PURSE SNATCHING - ATTEMPT
331,1,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
343,1,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
944,2,CONSPIRACY
438,2,RECKLESS DRIVING
950,2,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
870,2,CHILD ABANDONMENT
410,1,"BURGLARY FROM VEHICLE, ATTEMPTED"
453,1,DRUNK ROLL - ATTEMPT
812,2,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
230,1,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
627,2,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
420,1,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
668,2,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
450,1,THEFT FROM PERSON - ATTEMPT
473,1,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
820,1,ORAL COPULATION
951,2,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
670,2,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
949,2,ILLEGAL DUMPING
520,1,VEHICLE - ATTEMPT STOLEN
474,1,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
351,1,PURSE SNATCHING
904,2,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
761,1,BRANDISH WEAPON
931,2,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
435,2,LYNCHING
437,2,RESISTING ARREST
320,1,"BURGLARY, ATTEMPTED"
753,2,DISCHARGE FIREARMS/SHOTS FIRED
865,2,"DRUGS, TO A MINOR"
902,2,VIOLATION OF TEMPORARY RESTRAINING ORDER
813,2,CHILD ANNOYING (17YRS & UNDER)
943,2,CRUELTY TO ANIMALS
470,1,TILL TAP - GRAND THEFT ($950.01 & OVER)
330,1,BURGLARY FROM VEHICLE
755,2,BOMB SCARE
440,1,THEFT PLAIN - PETTY ($950 & UNDER)
445,1,DISHONEST EMPLOYEE ATTEMPTED THEFT
910,2,KIDNAPPING
830,2,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
745,2,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
341,1,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
625,2,OTHER ASSAULT
662,2,"BUNCO, GRAND THEFT"
647,2,THROWING OBJECT AT MOVING VEHICLE
432,2,BLOCKING DOOR INDUCTION CENTER
250,1,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
487,1,BOAT - STOLEN
922,2,CHILD STEALING
762,2,LEWD CONDUCT
664,2,"BUNCO, PETTY THEFT"
352,1,PICKPOCKET
443,1,SHOPLIFTING - ATTEMPT
756,2,WEAPONS POSSESSION/BOMBING
452,1,"PICKPOCKET, ATTEMPT"
110,1,CRIMINAL HOMICIDE
485,1,BIKE - ATTEMPTED STOLEN
444,1,DISHONEST EMPLOYEE - PETTY THEFT
814,2,CHILD PORNOGRAPHY
439,2,FALSE POLICE REPORT
810,2,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
651,2,DOCUMENT WORTHLESS ($200.01 & OVER)
666,2,"BUNCO, ATTEMPT"
434,2,FALSE IMPRISONMENT
840,2,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
740,2,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
845,2,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
235,1,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
446,2,PETTY THEFT - AUTO REPAIR
920,2,KIDNAPPING - GRAND ATTEMPT
441,1,THEFT PLAIN - ATTEMPT
850,2,INDECENT EXPOSURE
928,2,THREATENING PHONE CALLS/LETTERS
942,2,BRIBERY
921,2,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
884,2,FAILURE TO DISPERSE
954,2,CONTRIBUTING
622,2,BATTERY ON A FIREFIGHTER
940,2,EXTORTION
624,2,BATTERY - SIMPLE ASSAULT
763,2,STALKING
220,1,ATTEMPTED ROBBERY
649,2,DOCUMENT FORGERY / STOLEN FELONY
822,2,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
890,2,FAILURE TO YIELD
121,1,"RAPE, FORCIBLE"
924,2,TELEPHONE PROPERTY - DAMAGE
933,2,PROWLER
652,2,DOCUMENT WORTHLESS ($200 & UNDER)
654,2,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
821,1,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
882,2,INCITING A RIOT
648,1,ARSON
350,1,"THEFT, PERSON"
480,1,BIKE - STOLEN
